Tên bài hát,Ngh? s? trình bày,S? l??ng ngh? s? ?óng góp, N?m phát hành," S? l??ng danh sách phát 
Spotify mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Spotify","S? l??t nghe tr?c
 tuy?n trên Spotify"," S? l??ng danh sách phát
 Apple Music mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Apple Music",,,,
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,577,14,133753727,22,18,,,,
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,995,19,463564958,12,117,,,,
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,178,6,64533040,6,71,,,,
S-Class,Stray Kids,1,2023,290,19,65496046,9,101,,,,
Hits Different,Taylor Swift,1,2023,547,0,68616963,15,15,,,,
Chanel,"Becky G, Peso Pluma",2,2023,681,10,161460990,15,92,,,,
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,332,5,70106975,18,41,,,,
Area Codes,"Kaliii, Kaliii",2,2023,1197,13,113509496,44,34,,,,
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,161,6,71007139,10,79,,,,
FLOWER,JISOO,1,2023,839,18,232896922,20,110,,,,
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,259,0,37126685,5,17,,,,
Eyes Closed,Ed Sheeran,1,2023,2915,30,195576623,116,69,,,,
Escapism.,"RAYE, 070 Shake",2,2022,5129,25,532336353,116,84,,,,
La Jumpa,"Arcangel, Bad Bunny",2,2022,3794,34,538115192,47,77,,,,
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,588,0,46142772,23,21,,,,
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,2959,16,401036314,41,69,,,,
Las Morras,"BLESSD, Peso Pluma",2,2023,291,8,127026613,8,78,,,,
CHORRITO PA LAS ANIMAS,Feid,1,2022,2321,36,345031710,29,65,,,,
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,536,10,288101651,10,72,,,,
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,359,2,60350538,1,0,,,,
Players,Coi Leray,1,2022,4096,6,335074782,118,48,,,,
Bite Me,ENHYPEN,1,2023,349,69,76767396,8,96,,,,
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,381,5,46065667,23,82,,,,
Normal,Feid,1,2022,2461,36,459276435,47,66,,,,
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,277,1,39666245,1,20,,,,
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,967,5,138517666,7,29,,,,
Bad Habit,Steve Lacy,1,2022,8186,12,822633917,155,72,,,,
CUFF IT,Beyoncï¿,1,2022,7842,10,595900742,215,88,,,,
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,215,6,51985779,6,14,,,,
