Tên bài hát,Ngh? s? trình bày,S? l??ng ngh? s? ?óng góp, N?m phát hành," S? l??ng danh sách phát 
Spotify mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Spotify","S? l??t nghe tr?c
 tuy?n trên Spotify"," S? l??ng danh sách phát
 Apple Music mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Apple Music",,,,
Cï¿½ï¿½,Rauw Alejandro,1,2021,2636,3,465959382,36,82,,,,
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,824,0,1223481149,8,8,,,,
Dance Monkey,Tones and I,1,2019,24529,0,2864791672,533,167,,,,
Lucid Dreams,Juice WRLD,1,2017,14749,0,2288695111,188,34,,,,
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,8087,0,720825549,92,34,,,,
All of Me,John Legend,1,2013,27221,0,2086124197,308,118,,,,
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,49991,9,1690192927,265,121,,,,
Arcade,Duncan Laurence,1,2019,6646,0,991336132,107,47,,,,
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,5403,6,593917618,118,116,,,,
Bar,"Tini, L-Gante",2,2021,755,4,200972675,22,3,,,,
The Rumbling (TV Size),SiM,1,2022,254,0,71014967,0,4,,,,
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,6308,5,560222750,114,15,,,,
Mr. Brightside,The Killers,1,2003,51979,15,1806617704,306,99,,,,
Blessed-Cursed,ENHYPEN,1,2022,246,0,77337771,2,12,,,,
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6556,0,528544703,93,5,,,,
Streets,Doja Cat,1,2019,5728,0,865640097,85,87,,,,
Shallow,"Lady Gaga, Bradley Cooper",2,2018,16636,12,2159346687,368,155,,,,
Polaroid Love,ENHYPEN,1,2022,461,0,211372494,10,56,,,,
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4893,4,651732901,143,24,,,,
Permission to Dance,BTS,1,2021,1801,2,608334048,77,134,,,,
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,12043,0,863756573,209,54,,,,
RAPSTAR,Polo G,1,2021,4731,0,797402345,141,12,,,,
'Till I Collapse,"Eminem, Nate Dogg",2,2002,22923,0,1695712020,78,46,,,,
Memories,Maroon 5,1,2019,9974,2,1759567999,272,67,,,,
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,1560,0,223319934,72,0,,,,
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,620,0,54937991,17,3,,,,
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2,2021,3270,0,226897599,89,21,,,,
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,580,0,258316038,24,92,,,,
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,3406,16,596152090,61,23,,,,
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,903,0,177129919,30,26,,,,
MAMIII,"Karol G, Becky G",2,2022,6809,28,716591492,151,102,,,,
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,33966,0,1210599487,141,78,,,,
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,590,5,246376690,4,113,,,,
Boyfriend,Dove Cameron,1,2022,3766,0,496311364,76,0,,,,
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,1430,0,146789379,46,1,,,,
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,31762,0,843309044,142,40,,,,
Light Switch,Charlie Puth,1,2022,4049,0,500340342,119,6,,,,
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2096,0,107255472,34,3,,,,
Brividi,"Mahmood, Blanco",2,2022,1175,0,135079152,34,1,,,,
Lost,Frank Ocean,1,2012,29499,11,822239726,124,27,,,,
In Da Club,50 Cent,1,2002,30427,7,1202722675,235,106,,,,
she's all i wanna be,Tate McRae,1,2022,2711,0,343197054,105,12,,,,
Ginseng Strip 2002,Yung Lean,1,2013,4310,0,240769997,13,0,,,,
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,5342,0,426204830,33,123,,,,
Notion,The Rare Occasions,1,2016,2393,0,421135627,22,13,,,,
Formula,Labrinth,1,2019,3444,7,554875730,24,85,,,,
Mount Everest,Labrinth,1,2019,5443,0,467727006,45,1,,,,
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,272,4,327498031,7,21,,,,
Cigarettes,Juice WRLD,1,2021,975,0,185408548,11,0,,,,
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1034,1,245400167,19,5,,,,
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,18773,0,579395142,128,17,,,,
Forgot About Dre,"Eminem, Dr. Dre",2,1999,19067,0,675039469,78,15,,,,
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,3541,2,252871192,57,13,,,,
Mujeriego,Ryan Castro,1,2021,1492,0,231996128,44,63,,,,
HUMBLE.,Kendrick Lamar,1,2017,33206,1,1929770265,284,114,,,,
Stan,"Eminem, Dido",2,1999,17115,0,918915401,83,63,,,,
Contection,"GODZZ__-, Zakaria",2,2020,6955,0,1180896317,65,45,,,,
Swim,Chase Atlantic,1,2017,2742,0,498960285,5,1,,,,
A Tu Merced,Bad Bunny,1,2020,4214,11,685071800,21,20,,,,
Numb Little Bug,Em Beihold,1,2022,2026,0,258714692,47,3,,,,
212,"Mainstreet, Chefin",2,2022,352,0,143139338,10,0,,,,
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,1517,0,209768491,42,7,,,,
Bussin,"Nicki Minaj, Lil Baby",2,2022,847,0,64714573,25,0,,,,
Worst Day,Future,1,2022,910,0,50746620,20,3,,,,
Malvada,Zï¿½ï¿½ Fe,1,2022,601,0,154119539,28,73,,,,
Hrs and Hrs,Muni Long,1,2021,1800,0,181328253,43,36,,,,
Alien Blues,Vundabar,1,2015,1930,0,370068639,3,0,,,,
Thinking Out Loud,Ed Sheeran,1,2014,33032,0,2280566092,363,129,,,,
Still Don't Know My Name,Labrinth,1,2019,6332,0,563902868,47,116,,,,
Christmas Tree,V,1,2021,509,9,317622165,8,106,,,,
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,971,2,291709698,35,104,,,,
When I R.I.P.,Labrinth,1,2019,2578,0,203680270,8,67,,,,
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,1064,0,81350745,42,1,,,,
Forever,Labrinth,1,2019,3618,0,282883169,21,86,,,,
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,1040,0,64787943,8,0,,,,
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,15010,2,2484812918,453,50,,,,
NEW MAGIC WAND,"Tyler, The Creator",2,2019,4708,0,461437791,13,7,,,,
Adore You,Harry Styles,1,2019,13454,1,1439191367,246,71,,,,
La Santa,"Daddy Yankee, Bad Bunny",2,2020,4890,20,759208783,52,42,,,,
Something In The Way - Remastered 2021,Nirvana,1,1991,9514,0,368646862,45,27,,,,
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3501,0,299634472,69,2,,,,
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,6111,4,756907987,185,40,,,,
Una Noche en Medellï¿½,Cris Mj,1,2022,5415,32,682475162,46,16,,,,
Envolver,Anitta,1,2021,4673,2,546191065,123,113,,,,
Starlight,Dave,1,2022,1856,3,229473310,29,40,,,,
Hati-Hati di Jalan,Tulus,1,2022,200,2,202677468,12,4,,,,
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,1888,0,121913181,26,1,,,,
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,911,2,208166039,45,0,,,,
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,2954,2,527033089,18,82,,,,
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,461,0,94616487,7,11,,,,
Jordan,Ryan Castro,1,2021,2844,2,394030335,29,2,,,,
Nail Tech,Jack Harlow,1,2022,2939,0,193443895,42,0,,,,
Chale,Eden Muï¿½ï,1,2022,695,11,299648208,16,41,,,,
DARARI,Treasure,1,2022,328,0,182978249,10,21,,,,
Ya No Somos Ni Seremos,Christian Nodal,1,2022,866,16,319757142,27,84,,,,
Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,1550,0,109091573,0,0,,,,
Freaky Deaky,"Tyga, Doja Cat",2,2022,1729,0,153240879,26,1,,,,
this is what falling in love feels like,JVKE,1,2021,2005,0,346127840,16,5,,,,
La Zona,Bad Bunny,1,2020,1188,0,312622938,13,1,,,,
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,40112,3,2197010679,321,162,,,,
Hope,XXXTENTACION,1,2018,3659,0,1200808494,11,10,,,,
Levitating,Dua Lipa,1,2020,9833,0,797196073,233,82,,,,
Wake Me Up - Radio Edit,Avicii,1,2013,50887,34,1970673297,315,160,,,,
"jealousy, jealousy",Olivia Rodrigo,1,2021,3257,0,665765558,10,0,,,,
Monï¿½ï¿½y so,YEAT,1,2021,1473,0,263779030,2,0,,,,
Demasiadas Mujeres,C. Tangana,1,2020,2226,0,339473453,36,2,,,,
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,23375,21,2204080728,336,188,,,,
Closer,"The Chainsmokers, Halsey",2,2016,28032,0,2591224264,315,159,,,,
O.O,NMIXX,1,2022,290,0,135444283,9,66,,,,
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,42798,0,1457139296,217,136,,,,
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,2605,0,236872197,15,48,,,,
First Class,Jack Harlow,1,2022,8737,0,694525298,163,32,,,,
Plan A,Paulo Londra,1,2022,1105,0,240661097,32,0,,,,
Fuera del mercado,Danny Ocean,1,2022,2499,21,421365166,68,24,,,,
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,2697,1,349746291,55,3,,,,
When You're Gone,Shawn Mendes,1,2022,2092,0,255120451,75,11,,,,
In My Head,Lil Tjay,1,2022,1185,0,190981339,21,0,,,,
Wait a Minute!,Willow,1,2015,11985,0,924193303,79,80,,,,
LOVE DIVE,IVE,1,2022,753,8,305771063,28,124,,,,
Pantysito,"Feid, Alejo, Robi",3,2022,2995,0,273005485,49,17,,,,
Chance,Paulo Londra,1,2022,225,0,89566512,11,0,,,,
Cool for the Summer,Demi Lovato,1,2015,9243,0,677389855,155,5,,,,
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,918,0,75476209,24,0,,,,
Angel Baby,Troye Sivan,1,2021,1959,9,408843328,52,25,,,,
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,540,4,187772591,26,3,,,,
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,859,0,178512385,14,0,,,,
Right On,Lil Baby,1,2022,1116,0,101780047,31,9,,,,
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,273,2,118381354,12,2,,,,
That's Hilarious,Charlie Puth,1,2022,686,2,146363130,11,6,,,,
Soy El Unico,Yahritza Y Su Esencia,1,2022,226,0,126443991,5,0,,,,
RUMBATï¿½,Daddy Yankee,1,2022,1264,0,157990698,20,4,,,,
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,870,0,176290831,32,0,,,,
Falling,Harry Styles,1,2019,7556,0,1023187129,124,24,,,,
Sigue,"Ed Sheeran, J Balvin",2,1996,1370,0,106933107,46,8,,,,
Fim de Semana no Rio,teto,1,2022,315,2,139193812,27,2,,,,
MANIAC,Stray Kids,1,2022,651,0,212234990,6,188,,,,
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,12382,0,1714490998,229,57,,,,
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,625,0,197643795,10,2,,,,
Golden,Harry Styles,1,2019,8429,1,807015863,85,24,,,,
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,52898,0,933815613,203,1,,,,
Ain't Shit,Doja Cat,1,2021,3436,0,499710590,32,6,,,,
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,918,0,120847157,34,39,,,,
Still Life,BIGBANG,1,2022,181,0,53909146,16,14,,,,
Photograph,Ed Sheeran,1,2014,18778,3,2236667932,228,105,,,,
Love Yourself,Justin Bieber,1,2015,22730,5,2123309722,289,87,,,,
N95,Kendrick Lamar,1,2022,5542,0,301242089,52,16,,,,
About Damn Time,Lizzo,1,2022,9021,0,723894473,242,49,,,,
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,4627,0,237351106,38,13,,,,
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,2229,0,461558540,27,44,,,,
Un Ratito,Bad Bunny,1,2022,1112,6,417230415,7,30,,,,
United In Grief,Kendrick Lamar,1,2022,2575,0,156898322,4,5,,,,
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,3107,0,127309180,4,0,,,,
Yo No Soy Celoso,Bad Bunny,1,2022,1179,0,313113297,7,21,,,,
Rich Spirit,Kendrick Lamar,1,2022,3486,0,173702135,20,10,,,,
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,2942,0,271666301,42,28,,,,
Me Fui de Vacaciones,Bad Bunny,1,2022,1443,0,305650299,9,11,,,,
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,3028,0,123216717,22,0,,,,
La Corriente,"Tony Dize, Bad Bunny",2,2022,1796,8,479655659,8,25,,,,
Count Me Out,Kendrick Lamar,1,2022,2729,0,126191104,3,7,,,,
Andrea,"Buscabulla, Bad Bunny",2,2022,1195,0,344055883,8,30,,,,
Dos Mil 16,Bad Bunny,1,2022,892,3,338422004,10,24,,,,
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,1635,0,68895644,4,1,,,,
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,2291,0,86176890,9,0,,,,
Un Coco,Bad Bunny,1,2022,1029,28,403231558,5,28,,,,
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,1681,7,319546754,10,30,,,,
Worldwide Steppers,Kendrick Lamar,1,2022,1480,0,61739839,1,0,,,,
Aguacero,Bad Bunny,1,2022,829,0,283359161,4,15,,,,
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,2308,0,76831876,7,0,,,,
Un Verano Sin Ti,Bad Bunny,1,2022,1004,1,283332261,8,12,,,,
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,1367,0,307752576,48,4,,,,
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,1112,3,279737940,7,25,,,,
El Apagï¿½,Bad Bunny,1,2022,1209,0,212351890,9,7,,,,
Callaita,"Bad Bunny, Tainy",2,2019,9539,15,1304313953,162,116,,,,
Dua Lipa,Jack Harlow,1,2022,1992,0,150500965,35,0,,,,
Agosto,Bad Bunny,1,2022,897,0,246127838,6,20,,,,
House Of Memories,Panic! At The Disco,1,2016,2948,0,582863434,10,2,,,,
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,1860,0,58687425,1,0,,,,
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,802,0,212109195,16,81,,,,
In The Stars,Benson Boone,1,2022,2224,8,382199619,48,40,,,,
Rich - Interlude,Kendrick Lamar,1,2022,1103,0,41210087,0,0,,,,
SUPERMODEL,Mï¿½ï¿½ne,1,2022,2265,0,231657891,93,12,,,,
Stefania (Kalush Orchestra),KALUSH,1,2022,555,0,53729194,10,4,,,,
Thousand Miles,The Kid Laroi,1,2022,2050,0,244741137,52,9,,,,
Crown,Kendrick Lamar,1,2022,1493,0,42485571,2,0,,,,
Auntie Diaries,Kendrick Lamar,1,2022,1545,0,37778188,1,0,,,,
PUFFIN ON ZOOTIEZ,Future,1,2022,2350,0,254218729,28,42,,,,
Mirror,Kendrick Lamar,1,2022,1929,0,53603447,2,0,,,,
Beautiful Girl,Luciano,1,2022,710,4,160035717,16,11,,,,
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,928,0,164163229,19,0,,,,
Savior - Interlude,Kendrick Lamar,1,2022,1194,0,37091576,0,0,,,,
Pasoori,"Shae Gill, Ali Sethi",2,2022,349,6,284249832,10,22,,,,
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,1890,0,33381454,3,0,,,,
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,1308,2,184622518,23,16,,,,
Where Did You Go?,"MNEK, Jax Jones",2,2022,4531,0,300983101,135,74,,,,
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,1657,0,121077868,15,3,,,,
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,1351,0,106919680,26,1,,,,
ZOOM,Jessi,1,2022,608,0,136996305,5,29,,,,
SloMo,Chanel,1,2021,1211,0,65719930,31,0,,,,
FEARLESS,LE SSERAFIM,1,2022,629,0,229497852,18,75,,,,
10 Things I Hate About You,Leah Kate,1,2022,1301,0,185550869,23,1,,,,
SPACE MAN,Sam Ryder,1,2022,1329,0,54682594,42,51,,,,
With you,"HA SUNG WOON, Jimin",2,2022,343,2,240580042,4,35,,,,
Iris,The Goo Goo Dolls,1,1998,13101,9,1284942608,137,5,,,,
The Heart Part 5,Kendrick Lamar,1,2022,2939,0,71423324,29,0,,,,
San Lucas,Kevin Kaarl,1,2019,407,1,244891912,5,0,,,,
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,1492,0,132171975,26,2,,,,
Good Looking,Suki Waterhouse,1,2017,2264,0,184706613,11,6,,,,
Flowers,Lauren Spencer Smith,1,2021,801,0,184826429,42,9,,,,
Yet To Come,BTS,1,2022,829,0,302006641,32,110,,,,
Run BTS,BTS,1,2022,736,0,330881149,5,132,,,,
Music For a Sushi Restaurant,Harry Styles,1,2022,4449,1,334733572,80,11,,,,
Matilda,Harry Styles,1,2022,3218,3,366214458,29,10,,,,
For Youth,BTS,1,2022,327,0,114546317,5,40,,,,
Daylight,Harry Styles,1,2022,2775,0,290833204,21,11,,,,
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,4576,0,448500832,79,13,,,,
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,2313,0,136676504,34,0,,,,
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,3983,0,190625045,73,45,,,,
Born Singer,BTS,1,2022,279,0,79095270,0,18,,,,
Little Freak,Harry Styles,1,2022,2302,0,273194684,20,3,,,,
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,3559,3,333146475,36,1,,,,
True Love,"Kanye West, XXXTENTACION",2,2022,2129,0,194902696,23,1,,,,
Satellite,Harry Styles,1,2022,3291,5,311482393,43,28,,,,
Pass The Dutchie,Musical Youth,1,1982,5328,0,195918494,54,76,,,,
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,1401,0,248511839,26,16,,,,
Love Of My Life,Harry Styles,1,2022,1933,0,233671263,13,2,,,,
Grapejuice,Harry Styles,1,2022,1986,0,199587884,7,1,,,,
So Good,Halsey,1,2022,1057,0,91781263,51,14,,,,
Belly Dancer,"BYOR, Imanbek",2,2022,5115,13,383835984,109,38,,,,
Keep Driving,Harry Styles,1,2022,2094,1,236060709,8,1,,,,
Cinema,Harry Styles,1,2022,2171,0,189236868,18,1,,,,
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,896,0,160845341,19,0,,,,
Only Love Can Hurt Like This,Paloma Faith,1,2014,5148,0,588955257,90,22,,,,
Hold My Hand,Lady Gaga,1,2022,2528,0,238350348,63,8,,,,
Daydreaming,Harry Styles,1,2022,1900,1,187703102,15,1,,,,
Numb,"Marshmello, Khalid",2,2022,3879,2,295307001,107,76,,,,
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,896,0,138334433,0,0,,,,
Me and Your Mama,Childish Gambino,1,2016,8775,0,445590495,33,60,,,,
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,5290,0,286739476,139,73,,,,
SLOW DANCING IN THE DARK,Joji,1,2018,10211,0,1122364376,38,79,,,,
Antes de Perderte,Duki,1,2022,584,8,157136970,12,1,,,,
Boyfriends,Harry Styles,1,2022,1517,0,137070925,26,2,,,,
295,Sidhu Moose Wala,1,2021,246,4,183273246,4,106,,,,
Tak Ingin Usai,Keisya Levronka,1,2022,220,4,184807630,16,5,,,,
En El Radio Un Cochinero,Victor Cibrian,1,2022,514,0,164856284,5,36,,,,
Master of Puppets (Remastered),Metallica,1,1986,6080,0,704171068,112,198,,,,
BREAK MY SOUL,Beyoncï¿,1,2022,9724,0,354614964,222,61,,,,
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,2341,0,279717388,37,2,,,,
Massive,Drake,1,2022,5263,0,195628667,66,89,,,,
Betty (Get Money),Yung Gravy,1,2022,2402,0,221752937,45,2,,,,
Ojos Marrones,Lasso,1,2022,795,11,263280370,26,18,,,,
POP!,Nayeon,1,2022,571,0,213505179,19,21,,,,
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,832,3,130419412,18,124,,,,
MORE,j-hope,1,2022,565,0,155795783,6,52,,,,
Sweet Child O' Mine,Guns N' Roses,1,1987,41231,1,1553497987,228,151,,,,
Last Last,Burna Boy,1,2022,4526,12,293466523,156,275,,,,
SNAP,Rosa Linn,1,2022,1818,0,711366595,3,0,,,,
Sticky,Drake,1,2022,2814,0,191448892,38,105,,,,
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,1601,0,85924992,11,0,,,,
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,894,4,176103902,28,0,,,,
La Loto,"Anitta, Tini, Becky G",3,2022,945,0,121189256,49,3,,,,
die first,Nessa Barrett,1,2022,767,0,131746175,25,0,,,,
Afraid To Feel,LF System,1,2022,5898,5,244790012,129,55,,,,
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,685,2,129314708,17,0,,,,
cï¿½ï¿½mo dormi,Rels B,1,2022,1452,35,331511413,16,15,,,,
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,1456,0,219196651,53,2,,,,
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,2107,0,170732845,51,1,,,,
Caile,Luar La L,1,2020,1494,2,273914335,17,12,,,,
Si Te La Encuentras Por Ahï¿,Feid,1,2022,1379,4,179061440,23,10,,,,
GIVENCHY,Duki,1,2022,625,4,185236961,13,18,,,,
ALIEN SUPERSTAR,Beyoncï¿,1,2022,2688,0,171788484,39,47,,,,
Mary On A Cross,Ghost,1,2019,2668,2,387080183,38,266,,,,
Attention,NewJeans,1,2022,799,12,264717480,14,141,,,,
THE SHADE,Rex Orange County,1,2022,1189,6,244928911,17,10,,,,
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,367,0,97610446,28,67,,,,
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,527,4,287278853,10,43,,,,
Heartless,Kanye West,1,2008,17504,34,887906111,63,39,,,,
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,3113,0,123473120,54,6,,,,
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,685,5,295152154,15,79,,,,
JGL,"Luis R Conriquez, La Adictiva",2,2022,782,9,323455692,15,33,,,,
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,2442,0,240918092,81,4,,,,
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,1112,4,191873381,22,2,,,,
Hold Me Closer,"Elton John, Britney Spears",2,2017,4967,0,284216603,165,10,,,,
Forget Me,Lewis Capaldi,1,2022,2520,4,239411309,93,95,,,,
After LIKE,IVE,1,2022,767,12,265548837,20,129,,,,
Bound 2,Kanye West,1,2013,19806,7,703301727,33,11,,,,
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,5153,6,244585109,102,53,,,,
Talk that Talk,TWICE,1,2022,615,0,189476119,14,77,,,,
BILLIE EILISH.,Armani White,1,2022,2537,0,277132266,49,1,,,,
Ferxxo 100,Feid,1,2022,1647,30,278920007,20,49,,,,
KU LO SA - A COLORS SHOW,Oxlade,1,2022,2019,8,222410722,117,72,,,,
Prohibidox,Feid,1,2022,1473,12,185392587,25,36,,,,
Static,Steve Lacy,1,2022,1613,0,202452860,21,15,,,,
The Scientist,Coldplay,1,2002,30992,6,1608164312,124,25,,,,
Sparks,Coldplay,1,2000,10826,4,624101957,24,0,,,,
Talk,YEAT,1,2022,920,0,148461629,10,1,,,,
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,308,0,47093942,6,1,,,,
Selfish,PnB Rock,1,2016,2468,0,380319238,15,0,,,,
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,1097,2,209106362,18,10,,,,
Lady Mi Amor,Feid,1,2022,330,0,53987404,3,0,,,,
Poland,Lil Yachty,1,2022,1584,0,115331792,38,0,,,,
THE LONELIEST,Mï¿½ï¿½ne,1,2022,1585,5,225093344,78,65,,,,
Bye Bye,"Marshmello, Juice WRLD",2,2022,766,0,84697729,16,0,,,,
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,836,0,159240673,14,1,,,,
Nxde,(G)I-DLE,1,2022,430,6,170709584,14,116,,,,
Miss You,Southstar,1,1982,2020,0,154356956,77,10,,,,
we fell in love in october,girl in red,1,2018,6858,0,723043854,31,21,,,,
2 Be Loved (Am I Ready),Lizzo,1,2022,3682,6,247689123,41,0,,,,
Celestial,Ed Sheeran,1,2022,1639,0,176474912,86,14,,,,
Typa Girl,BLACKPINK,1,2022,452,10,235549288,2,129,,,,
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,668,1,140430339,0,0,,,,
California Breeze,Lil Baby,1,2022,991,0,85559365,36,38,,,,
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,869,7,146223492,14,12,,,,
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,648,4,187701588,0,0,,,,
Major Distribution,"Drake, 21 Savage",2,2022,1545,0,154863153,22,7,,,,
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,1930,0,191333656,24,8,,,,
Vigilante Shit,Taylor Swift,1,2022,1948,0,253650850,12,9,,,,
